bestelregel_id,bestelling_id,product_id,aantal,prijs_per_stuk
801,5001,101,1,1200.00
802,5001,102,1,75.50
803,5002,104,1,450.00
804,5003,103,1,180.00
805,5004,102,1,75.50
806,5005,106,1,1450.00
807,5005,107,1,49.99
808,5006,108,1,99.00
809,5007,101,1,1200.00
810,5008,105,1,49.99
811,5009,103,1,180.00
812,5009,112,1,29.50
813,5010,106,1,1450.00
814,5011,110,1,35.00
815,5012,109,1,89.90
816,5013,111,1,119.99
817,5014,112,1,29.50
818,5015,104,1,450.00
819,5015,102,2,75.50
820,5016,113,1,220.00
821,5017,101,1,1200.00
822,5018,115,1,99.00
823,5019,102,1,75.50
824,5020,111,1,119.99
825,5021,114,1,250.00
826,5022,105,1,49.99
827,5023,112,1,29.50
828,5024,103,1,180.00
829,5001,105,1,49.99
830,5005,109,1,89.90
831,5010,109,2,89.90
832,5015,111,1,119.99
833,5020,102,1,75.50
